client_role,req_id,target_url,client_ts_start,client_ts_end,e2e_latency_ms,status_code,success,server_latency_ms,server_total_latency_ms,server_time,server_pod_name,server_node_name,server_service_role,num_boxes,model,device,imgsz,filename,inter_request_gap_ms,loop_elapsed_ms,error_type,error_msg
measurement,measurement-1435,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:36.056846+00:00,2026-06-24T16:36:36.435343+00:00,378.406,200,1,355.28,367.166,2026-06-24T16:36:36.427,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.054,378.948,normal_success,
measurement,measurement-1436,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:36.435975+00:00,2026-06-24T16:36:36.821348+00:00,385.285,200,1,358.214,370.105,2026-06-24T16:36:36.813,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.176,385.85,normal_success,
measurement,measurement-1437,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:36.822037+00:00,2026-06-24T16:36:37.206351+00:00,384.288,200,1,358.295,370.203,2026-06-24T16:36:37.199,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.21,384.493,normal_success,
measurement,measurement-1438,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:37.206588+00:00,2026-06-24T16:36:37.586597+00:00,379.997,200,1,355.945,368.076,2026-06-24T16:36:37.578,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.066,380.482,normal_success,
measurement,measurement-1439,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:37.587217+00:00,2026-06-24T16:36:37.974282+00:00,387.038,200,1,361.616,373.517,2026-06-24T16:36:37.967,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.141,387.247,normal_success,
measurement,measurement-1440,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:37.974495+00:00,2026-06-24T16:36:38.352194+00:00,377.692,200,1,355.525,367.618,2026-06-24T16:36:38.345,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.037,377.802,normal_success,
measurement,measurement-1441,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:38.352330+00:00,2026-06-24T16:36:38.731600+00:00,379.265,200,1,357.345,369.33,2026-06-24T16:36:38.724,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.033,379.368,normal_success,
measurement,measurement-1442,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:38.731735+00:00,2026-06-24T16:36:39.111404+00:00,379.663,200,1,357.943,369.884,2026-06-24T16:36:39.104,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.038,379.808,normal_success,
measurement,measurement-1443,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:39.111578+00:00,2026-06-24T16:36:39.488283+00:00,376.696,200,1,353.949,365.924,2026-06-24T16:36:39.480,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.034,377.0,normal_success,
measurement,measurement-1444,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:39.488687+00:00,2026-06-24T16:36:39.867652+00:00,378.952,200,1,354.604,366.433,2026-06-24T16:36:39.859,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.106,379.074,normal_success,
measurement,measurement-1445,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:39.867793+00:00,2026-06-24T16:36:40.251336+00:00,383.537,200,1,357.215,369.214,2026-06-24T16:36:40.244,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.036,383.706,normal_success,
measurement,measurement-1446,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:40.251544+00:00,2026-06-24T16:36:40.631486+00:00,379.931,200,1,356.537,368.527,2026-06-24T16:36:40.623,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.043,380.341,normal_success,
measurement,measurement-1447,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:40.632066+00:00,2026-06-24T16:36:41.015874+00:00,383.788,200,1,357.672,369.561,2026-06-24T16:36:41.008,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.175,384.016,normal_success,
measurement,measurement-1448,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:41.016117+00:00,2026-06-24T16:36:41.390949+00:00,374.822,200,1,352.788,364.767,2026-06-24T16:36:41.384,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.041,374.937,normal_success,
